id,title,description,"item group id",link,"product type",fb_product_category,"image link",condition,availability,price,"sale price",brand,"additional image link","identifier exists"
4303,"AirPods Pro | Premium Noise | Transparency Mode | Up to 3.5 Hours of Talk Time with a Single Charge | 6 Month Local Warranty","Introducing the ultimate wireless earbuds - AirPods Pro. With a comfortable and secure fit, you can enjoy your music without any distractions. Experience crystal-clear sound with Adaptive EQ and active noise cancellation that blocks out unwanted noise. AirPods Pro are sweat and water-resistant, making them perfect for workouts and outdoor activities. Plus, with up to 4.5 hours of listening time and an additional 24 hours with the charging case, you can enjoy your music all day long.airpods pro price in pakistan    Features & Benefits:     	Active noise cancellation for immersive sound   	Adaptive EQ for superior audio quality   	Transparency mode to hear what's happening around you   	Customizable fit for all-day comfort   	Sweat and water-resistant design   	Quick access to Siri with voice-activated controls",4303,https://esquare.store/product/airpods-pro-price-in-pakistan/,Airpods,237,https://esquare.store/wp-content/uploads/2023/05/e2dd7ced-91e5-4663-be2c-49c5b5dc9004.jpg.webp,new,"in stock","6000.00  PKR","3000.00  PKR",Esquare,https://esquare.store/wp-content/uploads/2023/05/Apple-AirPods-Pro-2nd-Generation-Wireless-Earbuds-EEZEPC-5.jpg,no
3777,"RAF Air Fryer R 5332b | Mordern Design of High Quality Fryer | 1 Year Warranty | Power Type Electric | 15000 Wat Power | Order Now","RAF Air Fryer R 5332b  The RAF Air Fryer R 5332b is a must-have appliance for anyone looking to enjoy delicious, healthy meals without sacrificing taste or convenience. With its advanced technology and sleek design, this air fryer offers a hassle-free and healthier way to cook your favorite foods.      Features:  The RAF Air Fryer features a large 5.3-quart capacity, allowing you to cook for your entire family with ease. The adjustable temperature control and built-in timer make it simple to get the perfect results every time, while the non-stick surface ensures easy cleanup.Using the latest Rapid Air Circulation Technology, this air fryer allows you to fry, grill, roast or bake your favorite foods with little or no oil. This means you can enjoy crispy, golden fried foods without the added calories and fat of traditional frying methods.  Design:  The RAS Air Fryer  is designed with safety in mind, with a cool-touch handle and non-slip feet to prevent accidents. It also comes with a recipe book, so you can get started right away and explore new culinary horizons.      Things Which You Can Cook:  So whether you're cooking up a batch of crispy fries, juicy chicken, or perfectly roasted vegetables, the RAS Air Fryer  has got you covered. Get ready to enjoy healthy, delicious meals in no time with this innovative and versatile appliance.",3777,https://esquare.store/product/raf-air-fryer-r-5332b/,"Hot Selling Products > Air Fryer",237,https://esquare.store/wp-content/uploads/2023/04/air-fryer-r-5332-48506106052950_1000x.jpg,new,"in stock","25000.00  PKR","15999.00  PKR",Esquare,https://esquare.store/wp-content/uploads/2023/04/air-fryer-r-5332-48506105987414_1000x.jpg,no
3735,"Pro Wax100 Professional Hair Removal Wax Heater &amp; Wax Warmer Machine","BENEFITS:     	Warm All Types of Waxes   	Extra Aluminium Container With Detachable Handle   	See-Through Cover Prevents Wax Contamination   	Break Resistant Plastic   	Lid 360 Heating Coil For a Fast Wax Meltdown   	Come With English Instructions   	Suitable For All Types of Waxes                        SETPS OF WAX WARMER:     	Put the machine on a steady and heatproof desk, then open the lid put   	paraffin wax into the portable aluminum pot, and cover the lid   	Plugin and circumrotate the knob to adjust the temperature, the pilot lamplight, and the heater works   	 Plug out when the wax is melted for treatment   	Clean the skin before treatment   	Apply the melted wax on skin equably",3735,https://esquare.store/product/pro-wax100-professional-hair-removal-wax-heater-machine/,Electronics,237,https://esquare.store/wp-content/uploads/2023/03/Pro-wax100MiniParaffinWaxRechargeableCordedElectricHeater-1_5000x.webp,new,"in stock","2599.00  PKR","1799.00  PKR",Esquare,,no
3532,"Juice 3 Charges Power Bank | Portable Charger | for Apple iPhone | Samsung | Huawei | Microsoft | Oppo | Sony | With Warranty | Black","Juice 3 Charges Power Bank  In today's fast-paced world, we rely heavily on our electronic devices to stay connected, productive, and entertained. Whether it's a smartphone, tablet, or laptop, these devices need to be powered up to function effectively. Unfortunately, finding an electrical outlet isn't always easy when we're on the move, which is why a portable power bank is a must-have accessory. One such power bank that stands out is the  Power Bank.The  Power Bank is a compact and lightweight portable charger that can keep your devices powered up while you're on the go. With a battery capacity of 10,000mAh, this power bank can provide up to three full charges for most smartphones. That's enough power to keep you connected and productive throughout the day without worrying about your battery life.  Feature:  One of the most impressive features of the Power Bank is its fast charging capability. It supports Qualcomm Quick Charge 3.0 technology, which can charge your device up to four times faster than a conventional charger. This means that you can charge your device quickly and get back to using it in no time. Additionally, the power bank has dual USB output ports, allowing you to charge two devices simultaneously.  Power:  The Juice 3 Charges also features built-in safety mechanisms, including protection against overcharging, overheating, and short circuits. These safety features help ensure that your devices remain protected while charging. Additionally, the power bank has an LED indicator that displays the battery level, so you know when it's time to recharge it.  Features:  One of the standout features of the Juice 3 Charges Power Bank is its sleek and stylish design. It's compact and lightweight, making it easy to carry in your bag or pocket. The power bank's design is also visually appealing, with a black matte finish and a blue LED indicator light that illuminates when it's charging.Using the Juice 3 Charges Power Bank is easy. Simply plug your device into the USB output port, and it will begin charging automatically. When it's time to recharge the power bank, plug it into a power source using the included micro-USB cable.  Conclusion:  In conclusion, the Juice 3 Charges Power Bank is an excellent accessory for anyone who needs to keep their devices powered up while on the go. With its fast charging capabilities, dual USB output ports, and built-in safety mechanisms, you can be confident that your devices will remain safe and charged up. Its sleek and stylish design is also a bonus, making it a great addition to your tech accessories. If you're looking for a reliable and portable power bank, the Juice 3 Charges Power Bank is definitely worth considering.  Features:     	Holds Three Full Charges   	Charge Three Devices at Once (USB Type-A x 2 and USB Type-C Outputs)   	0-50% Charge in 50 Minutes   	Compact / Lightweight Design   	Made from 90% Recycled Plastics    Specifications:     	Input 1: Micro USB DC5V/2A   	Input 2: Type C DC5V/2A   	Output 1: USB A DC 5V/2.4Amp   	Output 2: USB A DC 5V/2.4Amp   	Output 3: USB-C DC 5V/3A   	Total Output: DC 5V/2. 4Amp 15W (max)   	CE Certified    Dimensions W x D x H (cm):     	9.3 x 6 x 2.5",3532,https://esquare.store/product/juice-3-charges-power-bank-portable-charger-for-apple-iphone-samsung-huawei-microsoft-oppo-sony-with-warranty-black/,"Power Banks > Hot Selling Products",237,https://esquare.store/wp-content/uploads/2023/03/WebImages-Black-01_500x.webp,new,"out of stock","4600.00  PKR","4600.00  PKR",Esquare,,no
3527,"Poweradd Slim 25000mAh Power Bank | Portable Charger | External Battery | for iPhone | SAMSUNG | Android Mobile | Cellphones | With Warrnaty","Poweradd Slim 25000mAh Power Bank  Poweradd Slim 25000mAh Power Bank is specially designed for customers who prefer an ultra-compact, lightweight charger. High quality, Safety, Convenience, and High-Speed Charging. Pocket-sized, the ultra-compact design provides a unique experience. 5000mAh capacity with grade A cell, it may be a necessary evil to keep your phone active for as long as possible. LED display lights indicate the charge and discharge status instantly. The extremely compact and slim design is convenient for portability while traveling. Poweradd is your perfect, on-the-go, go-anywhere, power source.  Design and Build  The Power Bank has a sleek and stylish design that makes it stand out from other power banks in the market. Its slim and compact design makes it easy to carry around, and it can easily fit into a pocket or a bag. The power bank is made from high-quality materials, which gives it a sturdy and durable build.  Capacity and Charging Speed  One of the key features of the Poweradd Slim 25000mAh Power Bank is its massive capacity. With a capacity of 25000mAh, it can charge most smartphones up to 8-10 times and tablets up to 3-4 times. This makes it an ideal choice for people who are always on-the-go and need to keep their devices charged.  Features :     	Battery Type: Li-ion battery   	Capacity: 5000mAh   	Life Cycle: > 500 Times   	Input: DC 5V /1000mAh   	Output: DC 5V /1000mAh    Use Tips:     	Fully recharge your Slim2 before first use to activate the battery   	Use the included cable, your original cable, or a third-party certified one    Package Includes:     	1x Poweradd Slim2 5000mAh Power Bank   	1x Micro USB Cable   	1x User Manual",3527,https://esquare.store/product/poweradd-slim-25000mah-power-bank-portable-charger-external-battery-for-iphone-samsung-android-mobile-cellphones-with-warrnaty/,"Power Banks > Hot Selling Products",237,https://esquare.store/wp-content/uploads/2023/03/energy-qc.webp,new,"out of stock","1900.00  PKR","1900.00  PKR",Esquare,,no
3476,"Redragon HYDRA Mouse | M805 | 14400 DPI | Gaming Mouse | 1 Year Local Warranty","Redragon HYDRA Mouse                Redragon HYDRA Mouse is a gaming mouse designed for competitive gamers. It features an ergonomic design with a comfortable grip, as well as high-precision sensors for accurate and responsive tracking. The mouse also has customizable RGB lighting, programmable buttons, and onboard memory for storing user profiles. Additionally, it has adjustable weights for a personalized feel and is compatible with Windows and Mac operating systems. Overall, the Redragon HYDRA Mouse is a reliable and customizable gaming mouse that can enhance your gaming experience.                Features:     	High Speed Gaming Sensor （P3327）   	MAX 12400DPI，220IPS   	125/250/500/1000HZ Polling Rate   	Long Life Switches   	5 DPI adjustable : 500/1000/2000/3000/6200   	RGB Backlight   	9 Programmable Buttons   	5 Memory Modes   	Professional Software    Specification:     	Counterweight: 8×2.5 Gram Tuning Weight   	Customize DPI Switch mode 1: 1000/2000/4000/7200/14400 adjusted via the buttons of he mouse   	Customize DPI Switch mode 2: DPI can be adjusted freely by ±100 from 100 to 14400 via CD settings   	FPS: 8000   	Polling Rate: Up to 1000 Hz; switchable: 125HZ/250HZ/333HZ/500HZ/1000HZ   	Buttons: 10 (10 out of 11) are Customizable   	Tracking System: Optical   	Actuation: 30g   	Interface: USB 2.0 Full Speed   	Working Voltage/Currency: DC5V / 100mA   	Switch Life: 800 Million Times   	Wheel Life: 120 Million Times   	Size: 4.9 x 3.2 x 1.5 inches   	USB Length: 1.8M Braided-Fiber Cable   	Switch: OMRON Gaming Switch",3476,https://esquare.store/product/redragon-hydra-mouse-m805-14400-dpi-gaming-mouse-1-year-local-warranty/,Mouse,237,https://esquare.store/wp-content/uploads/2023/03/Redragon-M805-Hydra-14400-DPI-USB-Wired-Gaming-Mouse-1.jpg,new,"in stock","4383.00  PKR","4383.00  PKR",Esquare,,no
3470,"Redragon TITANOBOA2 CHROMA Mouse | M802 | Gaming Computer Mouse | 1 Year Local Warranty","Redragon TITANOBOA2 CHROMA Mouse  Redragon TITANOBOA2 CHROMA Mouse is a gaming mouse designed for maximum performance and customization. It features a comfortable grip, high-precision sensors, and adjustable weights for a personalized feel. The mouse also has customizable RGB lighting, programmable buttons, and onboard memory for storing user profiles. Additionally, it has a durable build and is compatible with Windows and Mac operating systems. Overall, the mouse is a reliable and customizable gaming mouse that can enhance your gaming experience.      Specification:     	BRAND REDRAGON   	MODEL M802-RGB   	WIRELESS No   	WARRANTY Check at Delivery   	CONDITION New   	SHIPPING Same Day From Lahore   	AVAILABILITY Call for Availability   	11 buttons, 10 programmable buttons   	DPI – 50 to 24000   	Built in DPI modes – 1000, 2000, 4000, 8000, 12000   	Polling Rate – 1000 Hz",3470,https://esquare.store/product/redragon-titanoboa2-chroma-mouse-m802-usb-wired-gaming-computer-mouse-24000dpi-10-buttons-rgb-mice-programmable-ergonomic-pc-gamer/,Mouse,237,https://esquare.store/wp-content/uploads/2023/03/Redragon_Titanoboa_2_Chroma_-_24000_DPI_Gaming_Mouse_-_M802-RGB-1_400x.png,new,"in stock","3773.00  PKR","3773.00  PKR",Esquare,,no
3467,"Redragon Lonewolf-2 Mouse | M721-Pro | Gaming mouse | Wired Mouse | RGB Lighting | 10 Programmable Buttons | 32,000 DPI Adjustable | 1 Year Warranty","Redragon Lonewolf-2 Mouse  Redragon Lonewolf-2 Mouse is a high-performance gaming mouse designed for gamers who demand precision, accuracy, and speed. The mouse features an ergonomic design that is comfortable to use for long gaming sessions. It is built with a durable, lightweight material that makes it easy to move around the mousepad. The Mouse is equipped with a high-precision sensor that provides up to 10,000 DPI, making it suitable for fast-paced games .That require quick reflexes. The mouse also features six programmable buttons that can be customized to perform specific functions.  Making it easier for gamers to execute complex moves. The mouse comes with a braided cable that is designed to withstand wear and tear. Ensuring that it will last for a long time.  It also has a gold-plated USB connector that provides a stable and reliable connection to your computer.  Professional Gaming Mouse  Redragon M721 PRO octopus optical gaming mouse with up to 16000DPI, and 5 adjustable DPI levels (1000/2000/4000/8000/16000/32,000 DPI). Which can meet your multiple needs. DPI can be adjusted freely by ±100 from 100 to 16000 via software.    RGB Backlight & Programmable Buttons  It is equipped with 16.8 million RGB LED color options (LED backlight can be disabled), 8 programmable buttons, and 5 memory profiles each with a dedicated light color for quick identification.    Ergonomic Game Mouse  Durable smooth TEFLON feet pads can offer ultimate gaming control and delivers an extremely comfortable and precise experience for computer games.",3467,https://esquare.store/product/redragon-lonewolf-2-mouse-m721-pro-gaming-mouse-wired-mouse-rgb-lighting-10-programmable-buttons-32000-dpi-adjustable-1-year-warranty/,Mouse,237,https://esquare.store/wp-content/uploads/2023/03/LONEWOLF-2-mouse.jpg,new,"in stock","4737.00  PKR","4737.00  PKR",Esquare,,no
3466,"Redragon SNIPER PRO Mouse | M801P RGB | Wireless Gaming Mouse | 1 Year Local Warranty","Redragon SNIPER PRO Mouse  Redragon SNIPER PRO Mouse is a gaming mouse that features a high-precision sensor, customizable buttons, and adjustable weights for a personalized experience. It also has an ergonomic design with a comfortable grip and RGB lighting that can be customized to fit your gaming setup. With its reliable performance and competitive price point, the Mouse is a popular choice for gamers who want a quality gaming mouse without breaking the bank.        &nbsp;  Specification:     	Acceleration: 40 G   	Movement speed, IPS: 400   	Sensor model: Pixart 3335 (16000 DPI|400 IPS|40G)   	Time to market: 2018   	Gross Weight: 320g   	Operation Mode: Opto-electronic   	Power Type: Rechargeable   	Number of Buttons: 9   	Number of Rollers: 1 pcs   	Hand Orientation: Right   	Package: Yes   	Style: Finger,Backlight,DPI adjust button   	DPI: 16400   	Interface Type: USB   	Type: 2.4Ghz Wireless   	Brand Name: REDRAGON   	Origin: Mainland China   	Certification: CE,FCC   	Package: Redragon Color Box",3466,https://esquare.store/product/redragon-sniper-pro-mouse-m801p-rgb-wireless-gaming-mouse-1-year-local-warranty/,Mouse,237,https://esquare.store/wp-content/uploads/2023/03/611jbFFbbL._AC_SY450_.png,new,"in stock","8404.00  PKR","8404.00  PKR",Esquare,,no
3462,"Redragon SNIPER Mouse | M801 RGB | Gaming Mouse | 1 Year Local Warranty","Redragon SNIPER Mouse  Redragon sniper mouse is a professional-grade wired gaming mouse Featuring ultra-fast lag-free wired connection. We offer the best price in Pakistan for the M801 sniper gaming mouse the rechargeable mouse features a battery life of up to 35 hours (RGB LED on) up to 70 hours (RGB LED off) on a single charge. Pro Gaming features 16000 user-adjustable DPI and 40G acceleration. The High-Precision Sensor delivers Pinpoint Accuracy and extreme responsiveness during PC Gaming or Computer editing      RGB Backlit Programmable Pc Gaming Mouse  With 8 Lighting Effects, 10 Brightness Levels, Breathing Modes, (Backlight can be disabled), 9 user-programmable buttons, 2 Side Buttons, Rapid Fire Button, 5 Memory Profiles with Macro Recording  Ergonomic Redragon SNIPER Mouse  Delivering an extremely comfortable and precise experience for Computer Games  MMO Gaming Mouse Features  The Redragon M801P RGB Mouse features; Set Anti-Skid Scroll Wheel, Durable smooth TEFLON feet pads for ultimate gaming control. 9 programmable buttons. Comes with a detachable 6 foot, 3mm strong high-speed braided fiber USB-C cable  Pc Gaming Mouse Compatibility  Windows 10, Windows 8, Windows 7, Windows Vista, or Windows XP, Limited Mac OS support Works well with all major Gaming Computers Brands and Gaming Laptops.",3462,https://esquare.store/product/redragon-sniper-mouse-m801-rgb-gaming-mouse-1-year-local-warranty/,Mouse,237,https://esquare.store/wp-content/uploads/2023/03/M801-RGB_1024x1024@2x.jpg,new,"in stock","5497.00  PKR","5497.00  PKR",Esquare,,no
